id,uf,municipio,codigo_ibge,regiao,canal,subcanal,tier,qtd_pontos_estimados,fluxo_diario_estimado,ticket_medio_estimado,faturamento_mensal_estimado,prioridade_expansao,fonte_dado,ano_base,metodologia_aplicada,nivel_confianca
12,PR,Londrina,4113700,Sul,academia,academia/studio de rede (big-box),premium,79,1100,12.0,938520.0,22,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
13,PR,Curitiba,4106902,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,174,1325,7.5,2074950.0,21,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
14,BA,Vitória da Conquista,2933307,Nordeste,supermercado,supermercado/hipermercado grande formato,convencional,141,4417,7.5,1681425.0,17,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
15,RS,Porto Alegre,4314902,Sul,academia,academia/studio de rede (big-box),premium,58,1100,12.0,689040.0,16,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
16,SC,Florianópolis,4205407,Sul,academia,academia/studio de rede (big-box),premium,59,1100,12.0,700920.0,16,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
17,BA,Feira de Santana,2910800,Nordeste,supermercado,supermercado/hipermercado grande formato,premium,58,4417,12.0,689040.0,16,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
18,SC,São José,4216602,Sul,academia,academia/studio de rede (big-box),premium,49,1100,12.0,582120.0,14,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
19,RJ,Rio de Janeiro,3304557,Sudeste,academia,academia/studio de rede (big-box),premium,43,1100,12.0,510840.0,12,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
20,PR,Curitiba,4106902,Sul,hospital,hospital geral/especializado grande porte,premium,41,2200,12.0,487080.0,12,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
21,PR,Ponta Grossa,4119905,Sul,academia,academia/studio de rede (big-box),premium,37,1100,12.0,439560.0,11,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
22,RS,Caxias do Sul,4305108,Sul,academia,academia/studio de rede (big-box),premium,38,1100,12.0,451440.0,11,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
23,SC,Blumenau,4202404,Sul,academia,academia/studio de rede (big-box),premium,39,1100,12.0,463320.0,11,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
24,SP,São Paulo,3550308,Sudeste,academia,academia/studio de rede (big-box),premium,37,1100,12.0,439560.0,11,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
25,BA,Salvador,2927408,Nordeste,hospital,hospital geral/especializado grande porte,premium,40,2200,12.0,475200.0,11,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
26,PR,Londrina,4113700,Sul,supermercado,supermercado/hipermercado grande formato,convencional,88,4417,7.5,1049400.0,11,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
27,SC,Itajaí,4208203,Sul,academia,academia/studio de rede (big-box),premium,36,1100,12.0,427680.0,10,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
28,BA,Salvador,2927408,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,78,1325,7.5,930150.0,10,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
29,BA,Vitória da Conquista,2933307,Nordeste,supermercado,supermercado/hipermercado grande formato,premium,35,4417,12.0,415800.0,10,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
30,SC,Joinville,4209102,Sul,supermercado,supermercado/hipermercado grande formato,convencional,76,4417,7.5,906300.0,10,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
31,RJ,São Gonçalo,3304904,Sudeste,academia,academia/studio de rede (big-box),premium,32,1100,12.0,380160.0,9,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
32,RS,Porto Alegre,4314902,Sul,supermercado,supermercado/hipermercado grande formato,convencional,71,4417,7.5,846675.0,9,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
33,SC,Joinville,4209102,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,65,1325,7.5,775125.0,8,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
34,RJ,Rio de Janeiro,3304557,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,62,4417,7.5,739350.0,8,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
35,RS,Caxias do Sul,4305108,Sul,supermercado,supermercado/hipermercado grande formato,convencional,59,4417,7.5,703575.0,8,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
36,SC,Blumenau,4202404,Sul,supermercado,supermercado/hipermercado grande formato,convencional,59,4417,7.5,703575.0,8,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
37,SC,Florianópolis,4205407,Sul,supermercado,supermercado/hipermercado grande formato,convencional,65,4417,7.5,775125.0,8,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
38,BA,Juazeiro,2918407,Nordeste,academia,academia/studio de rede (big-box),premium,22,1100,12.0,261360.0,7,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
39,PR,Maringá,4115200,Sul,academia,academia/studio de rede (big-box),premium,24,1100,12.0,285120.0,7,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
40,RS,Pelotas,4314407,Sul,academia,academia/studio de rede (big-box),premium,25,1100,12.0,297000.0,7,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
41,SP,São Bernardo do Campo,3548708,Sudeste,academia,academia/studio de rede (big-box),premium,23,1100,12.0,273240.0,7,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
42,BA,Feira de Santana,2910800,Nordeste,hospital,hospital geral/especializado grande porte,premium,24,2200,12.0,285120.0,7,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
43,PR,Londrina,4113700,Sul,supermercado,supermercado/hipermercado grande formato,premium,22,4417,12.0,261360.0,7,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
44,SC,São José,4216602,Sul,supermercado,supermercado/hipermercado grande formato,convencional,55,4417,7.5,655875.0,7,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
45,BA,Camaçari,2905701,Nordeste,academia,academia/studio de rede (big-box),premium,18,1100,12.0,213840.0,6,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
46,MG,Belo Horizonte,3106200,Sudeste,academia,academia/studio de rede (big-box),premium,18,1100,12.0,213840.0,6,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
47,RJ,Campos dos Goytacazes,3301009,Sudeste,academia,academia/studio de rede (big-box),premium,20,1100,12.0,237600.0,6,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
48,RJ,Duque de Caxias,3301702,Sudeste,academia,academia/studio de rede (big-box),premium,18,1100,12.0,213840.0,6,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
49,RJ,Niterói,3303302,Sudeste,academia,academia/studio de rede (big-box),premium,21,1100,12.0,249480.0,6,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
50,RJ,Nova Iguaçu,3303500,Sudeste,academia,academia/studio de rede (big-box),premium,20,1100,12.0,237600.0,6,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
51,SP,Campinas,3509502,Sudeste,academia,academia/studio de rede (big-box),premium,21,1100,12.0,249480.0,6,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
52,RS,Porto Alegre,4314902,Sul,supermercado,supermercado/hipermercado grande formato,premium,18,4417,12.0,213840.0,6,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
53,SC,Joinville,4209102,Sul,supermercado,supermercado/hipermercado grande formato,premium,19,4417,12.0,225720.0,6,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
54,BA,Itabuna,2914802,Nordeste,academia,academia/studio de rede (big-box),premium,16,1100,12.0,190080.0,5,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
55,MG,Contagem,3118601,Sudeste,academia,academia/studio de rede (big-box),premium,16,1100,12.0,190080.0,5,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
56,MG,Uberlândia,3170206,Sudeste,academia,academia/studio de rede (big-box),premium,16,1100,12.0,190080.0,5,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
57,RS,Canoas,4304606,Sul,academia,academia/studio de rede (big-box),premium,15,1100,12.0,178200.0,5,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
58,RS,Gravataí,4309209,Sul,academia,academia/studio de rede (big-box),premium,14,1100,12.0,166320.0,5,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
59,RS,Novo Hamburgo,4313409,Sul,academia,academia/studio de rede (big-box),premium,14,1100,12.0,166320.0,5,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
60,RS,Santa Maria,4316907,Sul,academia,academia/studio de rede (big-box),premium,17,1100,12.0,201960.0,5,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
61,SC,Balneário Camboriú,4202008,Sul,academia,academia/studio de rede (big-box),premium,14,1100,12.0,166320.0,5,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
62,SC,Palhoça,4211900,Sul,academia,academia/studio de rede (big-box),premium,15,1100,12.0,178200.0,5,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
63,SP,Guarulhos,3518800,Sudeste,academia,academia/studio de rede (big-box),premium,16,1100,12.0,190080.0,5,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
64,SP,Santo André,3547809,Sudeste,academia,academia/studio de rede (big-box),premium,14,1100,12.0,166320.0,5,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
65,BA,Vitória da Conquista,2933307,Nordeste,hospital,hospital geral/especializado grande porte,premium,15,2200,12.0,178200.0,5,CNES/DataSUS,2024,SAM hospital 325 × peso[populacao] × densidade 1 × split premium 90%,medio
66,PR,Londrina,4113700,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,34,1325,7.5,405450.0,5,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
67,PR,Maringá,4115200,Sul,supermercado,supermercado/hipermercado grande formato,convencional,32,4417,7.5,381600.0,5,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
68,RJ,Rio de Janeiro,3304557,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,15,4417,12.0,178200.0,5,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
69,RJ,São Gonçalo,3304904,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,38,4417,7.5,453150.0,5,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
70,RS,Caxias do Sul,4305108,Sul,supermercado,supermercado/hipermercado grande formato,premium,15,4417,12.0,178200.0,5,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
71,SC,Blumenau,4202404,Sul,supermercado,supermercado/hipermercado grande formato,premium,15,4417,12.0,178200.0,5,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
72,SC,Florianópolis,4205407,Sul,supermercado,supermercado/hipermercado grande formato,premium,16,4417,12.0,190080.0,5,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
73,SC,Itajaí,4208203,Sul,supermercado,supermercado/hipermercado grande formato,convencional,37,4417,7.5,441225.0,5,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
74,SC,São José,4216602,Sul,supermercado,supermercado/hipermercado grande formato,premium,14,4417,12.0,166320.0,5,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
75,SP,São Paulo,3550308,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,38,4417,7.5,453150.0,5,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
76,PR,Curitiba,4106902,Sul,universidade,IES presencial,premium,16,2200,12.0,190080.0,5,INEP - Censo da Educação Superior 2024,2024,SAM universidade 307 × peso[pop_renda{'alpha': 0.3}] × densidade 1 × split premium 35%,medio
77,MG,Betim,3106705,Sudeste,academia,academia/studio de rede (big-box),premium,10,1100,12.0,118800.0,4,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
78,MG,Juiz de Fora,3136702,Sudeste,academia,academia/studio de rede (big-box),premium,12,1100,12.0,142560.0,4,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
79,MG,Montes Claros,3143302,Sudeste,academia,academia/studio de rede (big-box),premium,11,1100,12.0,130680.0,4,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
80,RJ,Belford Roxo,3300456,Sudeste,academia,academia/studio de rede (big-box),premium,12,1100,12.0,142560.0,4,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
81,RJ,Magé,3302502,Sudeste,academia,academia/studio de rede (big-box),premium,13,1100,12.0,154440.0,4,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
82,RJ,Petrópolis,3303906,Sudeste,academia,academia/studio de rede (big-box),premium,11,1100,12.0,130680.0,4,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
83,RJ,São João de Meriti,3305109,Sudeste,academia,academia/studio de rede (big-box),premium,13,1100,12.0,154440.0,4,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
84,RJ,Volta Redonda,3306305,Sudeste,academia,academia/studio de rede (big-box),premium,12,1100,12.0,142560.0,4,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
85,RS,Viamão,4323002,Sul,academia,academia/studio de rede (big-box),premium,10,1100,12.0,118800.0,4,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
86,SC,Chapecó,4204202,Sul,academia,academia/studio de rede (big-box),premium,11,1100,12.0,130680.0,4,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
87,SC,Criciúma,4204608,Sul,academia,academia/studio de rede (big-box),premium,12,1100,12.0,142560.0,4,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
88,SC,Jaraguá do Sul,4208906,Sul,academia,academia/studio de rede (big-box),premium,12,1100,12.0,142560.0,4,Fitness Brasil/EY + ACAD - Panorama Setorial (HFA Global Report),2025,SAM academia 2480 × peso[pop_renda{'alpha': 0.5}] × densidade 1 × split premium 100%,medio
89,BA,Vitória da Conquista,2933307,Nordeste,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,27,1325,7.5,321975.0,4,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
90,PR,Ponta Grossa,4119905,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,26,1325,7.5,310050.0,4,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
91,RS,Porto Alegre,4314902,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,23,1325,7.5,274275.0,4,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
92,SC,Florianópolis,4205407,Sul,planta_industrial,planta industrial / CD >=500 funcionarios,convencional,26,1325,7.5,310050.0,4,RAIS/MTE - ano-base 2024 (faixas de porte de estabelecimento),2024,SAM planta_industrial 1140 × peso[pib_total] × densidade 1 × split convencional 100%,medio
93,BA,Camaçari,2905701,Nordeste,supermercado,supermercado/hipermercado grande formato,convencional,29,4417,7.5,345825.0,4,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
94,PR,Ponta Grossa,4119905,Sul,supermercado,supermercado/hipermercado grande formato,convencional,26,4417,7.5,310050.0,4,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
95,RJ,Duque de Caxias,3301702,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,31,4417,7.5,369675.0,4,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
96,RJ,Nova Iguaçu,3303500,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,25,4417,7.5,298125.0,4,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
97,RJ,São Gonçalo,3304904,Sudeste,supermercado,supermercado/hipermercado grande formato,premium,10,4417,12.0,118800.0,4,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split premium 20%,medio
98,RS,Canoas,4304606,Sul,supermercado,supermercado/hipermercado grande formato,convencional,26,4417,7.5,310050.0,4,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
99,RS,Pelotas,4314407,Sul,supermercado,supermercado/hipermercado grande formato,convencional,26,4417,7.5,310050.0,4,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
100,SP,Campinas,3509502,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,24,4417,7.5,286200.0,4,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
101,SP,Guarulhos,3518800,Sudeste,supermercado,supermercado/hipermercado grande formato,convencional,30,4417,7.5,357750.0,4,ABRAS/NielsenIQ - Ranking ABRAS 2026,2025,SAM supermercado 3518 × peso[populacao] × densidade 1 × split convencional 80%,medio
